,0
829,0.61624
830,0.034379
831,0.042002
832,0.037732
833,0.040865
834,0.001504
835,0.00399
836,0.018088
837,-0.008371
838,0.04395
839,0.010159
840,0.009167
841,0.009093
842,0.027512
843,0.022775
844,-0.003685
845,0.904244
846,0.056792
847,0.0022
848,0.020214
849,0.567321
850,0.041271
851,0.041445
852,0.026749
853,0.024774
854,0.035158
855,0.046206
856,0.521571
857,0.012691
858,0.013934
859,0.030112
860,0.047989
861,0.000756
862,0.015798
863,0.048958
864,0.034611
865,0.002524
866,0.043754
867,0.01402
868,0.033808
869,0.036023
870,0.048481
871,0.047719
872,-3.7e-05
873,0.010268
874,0.010725
875,0.015729
876,0.009809
877,0.233913
878,0.036047
879,0.031544
880,0.036269
881,0.005614
882,0.009242
883,0.015798
884,0.014818
885,0.000369
886,0.007057
887,0.040795
888,0.013801
889,0.026053
890,0.014751
891,0.005816
892,0.012992
893,0.0598
894,0.039561
895,0.022286
896,0.235723
897,0.031844
898,0.050774
899,0.026332
900,0.702928
901,0.041048
902,0.009124
903,0.008909
904,0.024697
905,0.020988
906,0.016646
907,0.00807
908,0.017164
909,0.027907
910,0.44921
911,0.376187
912,0.013459
913,0.0174
914,0.026367
915,0.006363
916,0.02048
917,0.029617
918,0.036068
919,0.050265
920,0.035111
921,0.003184
922,0.003609
923,0.001072
924,0.047565
925,0.034457
926,0.01207
927,0.007939
928,0.017256
929,0.045938
930,0.03687
931,0.01143
932,0.010194
933,0.030697
934,0.050114
935,0.021439
936,0.049955
937,0.068895
938,-0.007348
939,0.056805
940,0.049572
941,0.017977
942,0.031187
943,0.02282
944,0.008705
945,0.454401
946,0.027344
947,0.01184
948,0.027207
949,0.021508
950,0.014465
951,0.476981
952,0.036128
953,0.030009
954,0.001415
955,0.040095
956,0.042645
957,0.061518
958,0.021819
959,0.604008
960,0.033901
961,0.022074
962,0.037517
963,0.034812
964,0.038146
965,0.055744
966,0.01009
967,0.031452
968,0.035256
969,0.031991
970,0.016579
971,0.012774
972,0.032877
973,0.016079
974,0.023935
975,0.040253
976,0.034646
977,0.00817
978,0.001859
979,0.449239
980,0.022957
981,0.04103
982,0.001165
983,-0.000974
984,0.380209
985,0.010736
986,0.009714
987,0.000534
988,0.017062
989,0.031225
990,0.046752
991,0.017556
992,-0.002022
993,0.031265
994,0.015948
995,0.013451
996,0.037051
997,0.420186
998,-0.002353
999,-0.000303
